Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15447,0.01,0.16
graph_cycle_1.sy,3,442,36674080,4898757,0.14,40.91
graph_one_way_connected_1_2.sy,1,7,399,399,0.03,0.04
graph_one_way_connected_1_2.sy,2,31,17898,13836,0.01,0.32
graph_one_way_connected_1_2.sy,3,344,12685924,6535747,0.07,40.22
graph_one_way_connected_1_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_3.sy,2,31,17898,13787,0.01,0.34
graph_one_way_connected_1_3.sy,3,333,13182259,6951159,0.08,54.51
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15453,0.02,0.36
graph_cycle_2.sy,3,481,51171974,6623733,0.20,80.31
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17809,0.01,0.15
graph_1_1.sy,3,357,13861785,9439044,0.07,30.02
graph_one_way_connected_1_1.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_1_1.sy,2,30,15896,12295,0.01,0.21
graph_one_way_connected_1_1.sy,3,337,12525292,6503041,0.07,32.29
graph_3.sy,1,7,399,399,0.03,0.02
graph_3.sy,2,32,20034,17784,0.01,0.23
graph_3.sy,3,363,13688786,8840542,0.10,46.90
graph_cycle_1_2.sy,1,7,399,399,0.03,0.05
graph_cycle_1_2.sy,2,36,30380,15399,0.02,0.46
graph_cycle_1_2.sy,3,439,36343739,4836324,0.14,60.80
graph_one_way_connected_1.sy,1,7,399,399,0.03,0.02
graph_one_way_connected_1.sy,2,31,17890,13649,0.01,0.16
graph_one_way_connected_1.sy,3,321,10972477,5411323,0.09,22.66
graph_1_3.sy,1,7,399,399,0.03,0.02
graph_1_3.sy,2,32,20058,17800,0.01,0.19
graph_1_3.sy,3,348,13861785,9432961,0.10,44.67
graph_1.sy,1,7,399,399,0.03,0.01
graph_1.sy,2,32,20034,17767,0.01,0.09
graph_1.sy,3,327,10387481,6892977,0.08,13.55
graph_cycle_1_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1_1.sy,2,36,30380,15503,0.01,0.25
graph_cycle_1_1.sy,3,442,36674080,4905890,0.13,50.63
graph_cycle_3.sy,1,7,399,399,0.03,0.05
graph_cycle_3.sy,2,36,30380,15475,0.01,0.51
graph_cycle_3.sy,3,494,53268279,6994093,0.22,99.50
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17765,0.01,0.15
graph_2.sy,3,355,13179695,8474237,0.10,26.71
graph_cycle_1_3.sy,1,7,399,399,0.02,0.04
graph_cycle_1_3.sy,2,36,30380,15413,0.01,0.46
graph_cycle_1_3.sy,3,439,36343739,4818988,0.18,63.38
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,32,20050,15327,0.01,0.27
graph_one_way_connected_2.sy,3,367,15856331,7756715,0.11,46.89
graph_1_2.sy,1,7,399,399,0.03,0.02
graph_1_2.sy,2,32,20058,17777,0.01,0.18
graph_1_2.sy,3,349,14211239,9701111,0.10,39.03
graph_one_way_connected_3.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_3.sy,2,31,17890,13846,0.01,0.28
graph_one_way_connected_3.sy,3,373,16048765,7860008,0.11,67.42
