Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_delete_two_children.sy,1,6,10,10,0.02,0.01
binary_search_tree_delete_two_children.sy,2,27,312,220,0.00,0.01
binary_search_tree_delete_two_children.sy,3,270,38686,2904,0.00,0.15
binary_search_tree_delete_two_children.sy,4,4200,9695374,63096,0.06,11.72
graph_cycle.sy,1,7,399,399,0.03,0.03
graph_cycle.sy,2,36,30380,15447,0.01,0.20
graph_cycle.sy,3,439,36674080,4891004,0.13,40.32
graph_one_way_connected.sy,1,7,399,399,0.02,0.02
graph_one_way_connected.sy,2,31,17898,13652,0.01,0.14
graph_one_way_connected.sy,3,335,12202177,6275978,0.09,25.49
graph.sy,1,7,399,399,0.03,0.02
graph.sy,2,32,20058,17783,0.01,0.14
graph.sy,3,364,14746340,10043596,0.07,31.31
user_names_aliasing.sy,1,7,399,399,0.02,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.08
user_names_aliasing.sy,3,2203,2595769929,2436012755,6.11,1705.20
user_names_connected.sy,1,8,583,583,0.03,0.02
user_names_connected.sy,2,42,65056,65056,0.01,0.19
user_names_connected.sy,3,2202,2545101009,2388060500,7.36,1559.46
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,64,198268,125474,0.01,0.11
set_subtree.sy,1,6,258,258,0.03,0.01
set_subtree.sy,2,56,160166,97690,0.02,0.63
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,51,119838,79094,0.01,0.12
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,42471,0.01,0.07
FirstAndLast.sy,3,2574,2647069747,803338423,7.56,839.33
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,37399,0.01,0.10
IsAllPositive.sy,3,3060,3431476913,788051868,8.93,738.39
