Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
binary_search_tree_delete_two_children.sy,1,6,10,10,0.02,0.01
binary_search_tree_delete_two_children.sy,2,27,312,220,0.00,0.01
binary_search_tree_delete_two_children.sy,3,270,38686,2904,0.00,0.15
binary_search_tree_delete_two_children.sy,4,4195,9695374,63096,0.06,11.86
graph_cycle.sy,1,7,399,399,0.02,0.03
graph_cycle.sy,2,36,30380,15424,0.01,0.20
graph_cycle.sy,3,442,36674080,4894275,0.14,40.11
graph_one_way_connected.sy,1,7,399,399,0.02,0.03
graph_one_way_connected.sy,2,31,17898,13844,0.01,0.14
graph_one_way_connected.sy,3,347,13015400,6796865,0.07,27.76
graph.sy,1,7,399,399,0.03,0.02
graph.sy,2,32,20058,17815,0.01,0.14
graph.sy,3,365,14746340,10044024,0.10,37.35
user_names_aliasing.sy,1,7,399,399,0.02,0.02
user_names_aliasing.sy,2,41,60480,60480,0.01,0.08
user_names_aliasing.sy,3,2195,2533937334,2378241743,6.00,1433.09
user_names_connected.sy,1,8,583,583,0.03,0.03
user_names_connected.sy,2,42,65056,65056,0.01,0.17
user_names_connected.sy,3,2209,2545101009,2388131359,6.19,1284.52
x_y_mut_inc.sy,1,6,258,258,0.03,0.01
x_y_mut_inc.sy,2,64,198268,125340,0.01,0.12
set_subtree.sy,1,6,258,258,0.03,0.02
set_subtree.sy,2,56,160166,97661,0.02,0.58
seq.sy,1,6,258,258,0.03,0.01
seq.sy,2,51,119838,79432,0.01,0.12
FirstAndLast.sy,1,5,155,155,0.03,0.01
FirstAndLast.sy,2,47,93040,41754,0.01,0.07
FirstAndLast.sy,3,2590,2710722402,815411523,7.56,688.31
IsAllPositive.sy,1,5,155,155,0.03,0.01
IsAllPositive.sy,2,46,87009,36581,0.01,0.10
IsAllPositive.sy,3,3081,3424656228,786053998,8.61,669.76
user_names_simple.sy,1,7,399,399,0.03,0.02
user_names_simple.sy,2,41,60480,60480,0.01,0.07
user_names_simple.sy,3,2208,2528365389,2372681680,6.87,1396.84
abcd.sy,1,8,584,584,0.02,0.02
abcd.sy,2,202,2533481,2021639,0.02,1.93
abc.sy,1,7,399,399,0.03,0.01
abc.sy,2,145,1135370,887560,0.02,0.73
ab.sy,1,6,258,258,0.04,0.00
MoveFromAToB.sy,1,6,258,258,0.03,0.01
MoveFromAToB.sy,2,61,208661,127428,0.01,0.13
count-total-words-in-a-cellmodified.sy,1,5,155,155,0.03,0.01
count-total-words-in-a-cellmodified.sy,2,38,47830,39567,0.01,0.06
NegativeIndex.sy,1,6,258,258,0.03,0.01
NegativeIndex.sy,2,68,291652,228137,0.01,0.22
