Task,Iteration,Bank size,Total programs,Valid sequences,Took without embedding,Took with embedding
graph_1_2.sy,1,7,399,399,0.02,0.02
graph_1_2.sy,2,32,20058,17762,0.01,0.18
graph_1_2.sy,3,354,13861785,9434977,0.10,40.38
graph_one_way_connected_2.sy,1,7,399,399,0.03,0.03
graph_one_way_connected_2.sy,2,31,17890,13800,0.01,0.26
graph_one_way_connected_2.sy,3,359,15296729,7362601,0.08,47.78
graph_1.sy,1,7,399,399,0.03,0.02
graph_1.sy,2,32,20034,17738,0.01,0.09
graph_1.sy,3,333,10531146,6985160,0.06,11.75
graph_1_3.sy,1,7,399,399,0.02,0.02
graph_1_3.sy,2,32,20058,17762,0.01,0.19
graph_1_3.sy,3,354,13861785,9434977,0.07,43.34
graph_cycle_1_1.sy,1,7,399,399,0.02,0.04
graph_cycle_1_1.sy,2,36,30380,15252,0.02,0.29
graph_cycle_1_1.sy,3,438,37006415,4678135,0.19,46.20
graph_cycle_2.sy,1,7,399,399,0.03,0.04
graph_cycle_2.sy,2,36,30380,15252,0.02,0.35
graph_cycle_2.sy,3,475,51586755,6223681,0.17,82.70
graph_2.sy,1,7,399,399,0.03,0.02
graph_2.sy,2,32,20034,17738,0.01,0.12
graph_2.sy,3,349,13012842,8334626,0.09,26.33
graph_one_way_connected_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_3.sy,2,31,17890,13800,0.01,0.37
graph_one_way_connected_3.sy,3,365,16048765,7789379,0.11,70.66
graph_one_way_connected_1.sy,1,7,399,399,0.02,0.02
graph_one_way_connected_1.sy,2,31,17890,13800,0.01,0.14
graph_one_way_connected_1.sy,3,337,11423410,5682403,0.07,22.08
graph_3.sy,1,7,399,399,0.03,0.03
graph_3.sy,2,32,20034,17738,0.01,0.22
graph_3.sy,3,355,13347966,8573873,0.11,44.73
graph_1_1.sy,1,7,399,399,0.03,0.02
graph_1_1.sy,2,32,20058,17762,0.01,0.15
graph_1_1.sy,3,354,13861785,9434977,0.07,34.26
graph_cycle_3.sy,1,7,399,399,0.03,0.05
graph_cycle_3.sy,2,36,30380,15252,0.02,0.50
graph_cycle_3.sy,3,482,53268279,6493467,0.19,103.11
graph_one_way_connected_1_2.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_2.sy,2,31,17898,13808,0.02,0.32
graph_one_way_connected_1_2.sy,3,345,12685924,6608043,0.07,45.58
graph_one_way_connected_1_3.sy,1,7,399,399,0.02,0.04
graph_one_way_connected_1_3.sy,2,31,17898,13808,0.01,0.32
graph_one_way_connected_1_3.sy,3,345,12685924,6608043,0.07,43.16
graph_cycle_1.sy,1,7,399,399,0.03,0.03
graph_cycle_1.sy,2,36,30380,15252,0.02,0.20
graph_cycle_1.sy,3,438,36674080,4605556,0.19,46.33
graph_one_way_connected_1_1.sy,1,7,399,399,0.02,0.03
graph_one_way_connected_1_1.sy,2,31,17898,13808,0.01,0.24
graph_one_way_connected_1_1.sy,3,345,12685924,6608043,0.10,33.41
graph_cycle_1_2.sy,1,7,399,399,0.03,0.04
graph_cycle_1_2.sy,2,36,30380,15252,0.02,0.43
graph_cycle_1_2.sy,3,438,36674080,4605556,0.13,57.15
graph_cycle_1_3.sy,1,7,399,399,0.03,0.05
graph_cycle_1_3.sy,2,36,30380,15252,0.02,0.43
graph_cycle_1_3.sy,3,438,37006415,4678135,0.18,59.53
